"","participant.code","...1","dis3_1","dis3_2","dis0_1","dis0_2","dis03_1","dis03_2","payoff1","seconds_on_page.InitializeParticipant","seconds_on_page.MyPage","seconds_on_page.Part1","seconds_on_page.CQ1","seconds_on_page.count1","seconds_on_page.count2","seconds_on_page.count3","seconds_on_page.count4","seconds_on_page.count5","seconds_on_page.count6","seconds_on_page.count7","seconds_on_page.count8","seconds_on_page.count9","seconds_on_page.count10","seconds_on_page.Result1","seconds_on_page.Part2","seconds_on_page.CQ2","seconds_on_page.Allocation","seconds_on_page.Result2WaitPage","seconds_on_page.Result2"
"88","rwfvsa2b",112,2.5,2.5,2.5,2.5,1,4,2,NA,2948,114,21,20,16,15,17,34,16,17,51,21,22,NA,166,19,49,NA,NA
"89","sb5todmf",116,2.5,2.5,2.5,2.5,2.5,2.5,2,NA,3138,136,39,21,29,15,12,24,12,17,13,19,12,NA,231,13,144,NA,NA
"90","t50xtkcp",41,2.5,2.5,2.5,2.5,4,1,3,NA,1460,155,8,11,9,12,8,11,10,7,9,8,9,457,179,11,42,68,13
"91","t99d400p",14,3,2,4,1,3,2,3,NA,1036,154,12,16,13,17,14,11,13,12,15,13,12,339,217,14,59,36,11
"92","twuy0erd",70,2.5,2.5,2.5,2.5,4,1,0,NA,1324,130,13,52,17,9,10,10,13,9,11,18,10,303,211,19,155,17,23
"93","u76v0q3o",16,2.5,2.5,2.5,2.5,4,1,0,NA,1681,156,23,26,18,21,17,55,45,16,26,36,19,147,135,23,26,9,7
"94","uft9ej7a",107,2.5,2.5,2.5,2.5,5,0,2,NA,3010,3,399,35,17,14,12,13,14,13,23,14,12,NA,2,240,47,NA,NA
"95","undm0u5q",96,2.5,2.5,2.5,2.5,4,1,2,NA,1234,131,14,18,17,17,14,14,14,15,18,14,18,NA,454,12,53,NA,NA
"96","uz2y3fcu",80,3,2,3,2,4,1,3,NA,2099,179,12,25,15,16,15,14,14,12,15,15,18,300,254,18,48,27,95
"97","v44v3w3f",20,2.5,2.5,2.5,2.5,4,1,3,NA,1603,125,12,20,14,15,15,13,16,11,13,13,13,237,196,8,47,3,27
"98","vqycxkgv",26,5,0,5,0,0,5,3,NA,3694,2,40,53,18,13,15,11,20,19,27,29,13,253,3,239,66,0,10
"99","we1ewnx6",68,2.5,2.5,2.5,2.5,1,4,3,NA,1462,133,49,20,25,18,18,13,13,10,16,13,11,282,171,16,139,NA,NA
"100","wlic6arx",114,2.5,2.5,2.5,2.5,4,1,2,NA,3285,15,123,37,21,14,13,12,14,15,17,15,12,NA,262,12,21,NA,NA
"101","x4c2rb3h",17,4,1,3,2,0,5,3,NA,1635,2,141,26,38,17,13,13,11,12,12,11,13,219,44,138,49,10,NA
"102","x8x3t9vl",83,2.5,2.5,2.5,2.5,4,1,3,NA,1987,181,19,21,23,18,25,21,19,17,27,20,25,239,249,36,63,0,290
"103","xxgclhb8",32,2.5,2.5,2.5,2.5,4,1,3,NA,NA,140,17,25,16,14,14,13,14,14,18,15,13,346,228,20,57,NA,NA
